x,y,d,tile,crater,id
860,1613,30,1_24,1,P16J5
85,650,27,1_24,0,MSP9P
1285,456,22,1_25,1,23CWG
1090,1237,51,2_24,0,G75DA
740,1244,18,1_24,1,A9VTE
235,1490,25,2_25,1,9Q8C6
560,1544,11,2_24,1,6ECE0
47,724,26,3_25,1,JZO7J
1263,1554,16,1_25,1,9PM0V
1237,229,22,1_25,0,1Q6BK
902,242,22,1_25,0,03SBM
969,1001,27,3_24,0,T7UZZ
1244,1465,20,3_25,1,XT9NX
37,1520,25,1_25,0,P0391
882,1282,48,1_24,0,CEI45
1193,562,18,1_25,1,Q6G3L
74,1134,19,2_25,1,ZW2BM
239,1447,24,2_25,0,PY5DJ
517,844,21,3_24,1,IE9N5
1085,580,18,1_24,0,3UBMG
144,96,57,1_25,0,8MCBI
1199,63,27,1_24,1,GBBR5
1276,858,31,3_25,0,53YIY
122,1454,27,2_24,1,Z5FLB
622,139,31,2_25,1,XZQQ0
1200,1377,32,1_24,0,6SB7R
355,945,27,1_25,0,MTDGO
855,48,16,1_25,1,IPQGT
273,1519,24,1_24,1,R1LGT
1563,1523,20,1_25,0,AO04J
613,1202,34,1_24,0,9W6LE
76,920,28,1_24,0,TFHNI
561,218,18,1_25,1,JD8HK
1197,1641,40,3_25,0,HD0FL
761,360,41,3_25,0,UWOH3
443,1601,80,2_25,0,VTPPX
350,392,27,1_25,0,RQSV1
1089,780,16,1_24,1,WDIZN
1026,1180,33,1_25,0,0GX75
660,667,28,1_25,0,Y9DYK
1598,1443,34,1_24,0,YLCLE
1514,695,25,1_25,0,CLSE8
1011,469,34,1_25,0,08Q1J
1486,937,34,2_24,0,PST8N
1302,413,27,2_25,0,HZE8Z
353,622,21,2_25,0,G6M6T
742,56,17,3_24,1,OWXOB
194,134,34,3_24,0,S6CJ6
1637,1233,23,1_25,1,BR40N
1158,405,40,1_25,1,RBY85
1498,107,20,1_25,0,JXAAF
554,949,37,1_24,0,X72P8
1074,810,39,1_24,0,53MJM
1266,1250,33,1_25,0,YA8K5
1657,1117,34,3_25,0,DU1XY
362,1626,28,3_24,1,GR6TY
1365,792,30,1_25,0,1B8SV
822,1525,20,1_25,1,RVTFM
1666,976,16,3_25,1,G3LQN
814,727,20,2_24,1,O03CC
1300,314,20,1_25,1,A1169
540,575,18,1_24,1,SBUCC
364,861,18,2_24,1,D0DQA
899,990,46,1_24,0,QKPXG
258,1214,48,1_24,0,JZPJG
493,818,57,3_24,0,A06HN
951,1546,33,3_25,0,6308H
161,1531,24,2_25,0,K1L0I
77,406,16,2_25,1,SDZZN
805,1202,24,3_25,0,XFMHS
1300,747,20,1_24,0,XU30L
105,1654,18,3_24,0,69LGK
878,120,29,1_25,0,QEGJQ
78,885,41,1_24,1,S4UMN
859,892,25,1_25,0,LIDSS
1340,163,35,3_24,0,BZEBK
290,735,30,2_24,0,3SF5R
449,390,31,3_25,0,10B0B
1198,1203,26,1_25,1,WPKQX
369,373,41,2_24,0,MTG8I
109,1358,20,2_25,1,AABU9
740,1270,29,3_25,0,N6RLK
1165,1564,61,1_25,0,50F29
470,533,29,1_25,0,T7WF1
810,1618,26,2_25,0,ZAWJC
1567,743,20,2_25,0,5QTAF
631,1419,32,1_25,1,SXXZI
1346,468,32,1_25,0,VO8AU
656,536,29,1_24,0,FY460
81,777,71,1_24,0,AVA62
1396,760,48,2_25,1,G6FT7
443,1026,63,3_24,0,9HD4C
1590,1523,19,3_25,0,RBFKS
175,943,42,1_25,0,9958F
252,146,32,3_25,0,X4J57
49,1347,19,3_24,1,7A2UO
463,1270,28,3_25,0,PPK52
1546,796,25,1_25,1,5Z1VR
264,153,23,3_25,0,XR6GG
66,73,16,3_24,0,D7UD8
306,1219,19,2_24,1,YTQBF
1089,693,54,3_25,0,IHVZ4
189,1564,25,3_24,0,W2H6A
119,1577,33,1_24,0,VJ6HL
1438,714,28,2_25,1,A9MHI
755,762,69,1_24,0,BM6DH
801,1255,34,1_24,0,WIW86
400,1077,27,1_24,1,2X740
1298,435,25,1_25,0,CD3YF
614,1301,27,3_24,1,WXG16
676,957,18,1_25,0,CGX43
1375,217,41,3_25,0,9KQNP
235,998,39,3_24,1,TLK49
1349,1632,23,1_25,0,QDP0W
705,994,22,1_24,0,AT9ZS
277,1586,32,1_24,0,DXE1T
659,1547,38,1_25,0,LIJ0X
1493,62,22,3_24,0,AZT6S
884,1507,35,1_25,0,3FWI4
618,619,22,2_24,0,LCERQ
112,609,34,1_24,0,HP734
1426,1569,18,1_25,1,AMUSR
1483,154,19,1_25,1,50TM9
185,323,69,1_24,0,FV0TX
1253,315,26,3_24,0,A7JLA
1666,86,30,2_24,0,EPUSO
102,301,18,1_25,1,QQ6NV
1424,1671,19,1_25,0,NMK0P
240,901,61,1_24,0,OML5C
823,399,34,1_25,0,0UFSY
1597,1609,17,1_25,1,PSKNK
68,25,19,3_25,0,NS93N
1422,714,32,3_24,0,9RC24
336,450,44,1_24,0,V3MZR
125,1428,14,2_25,1,WJYWY
1546,1181,41,2_24,1,WNZQ4
356,312,42,3_24,1,PGD2N
1026,1387,30,1_25,0,VQCIC
399,1665,25,1_24,0,CD0SR
1096,322,24,1_25,0,97969
1415,485,20,1_25,1,HOKOW
198,923,76,3_24,0,Y2HX1
801,962,19,2_24,0,1TPD4
69,552,18,1_25,1,6XDWO
1254,1633,60,1_24,1,YVFO5
865,1451,18,1_25,0,R066V
129,840,20,1_25,1,5J7UF
1386,374,28,2_24,0,8T3DR
204,539,39,1_25,0,Z3VMS
308,49,31,1_25,0,YCMH4
1503,248,46,1_24,0,HXKNC
826,1419,16,3_25,1,IHDN3
105,246,25,1_24,1,QOUXU
454,41,31,1_25,0,LYAX6
1584,317,26,2_24,0,7YIN1
456,574,26,1_24,0,I3LOH
408,1463,26,2_24,0,9CKH7
300,1640,35,3_24,1,NV1TC
667,1448,32,2_25,0,BHOAX
339,1461,16,1_24,1,VJLYM
448,897,31,2_24,0,XK2H4
200,1580,20,1_25,1,LD9HR
1540,910,29,1_24,0,0UT99
1354,1454,58,3_25,0,XG4WK
606,1449,16,1_25,1,K1Q2T
498,770,75,3_25,0,BDWEW
1228,693,21,3_25,0,O58TK
1514,942,17,1_24,1,2UHNO
725,835,29,1_25,0,7FLOC
1351,612,35,3_25,1,ZGHGK
745,81,23,2_25,1,H1AQJ
745,1425,23,1_24,0,7TMPX
1453,1489,22,2_25,0,Q4H4H
1059,1415,29,1_25,0,U6H5V
595,179,27,1_25,1,07CRN
76,989,14,2_24,1,63H6K
1610,350,22,1_25,1,Q9WBB
1026,1633,32,1_24,1,DRM8C
982,536,22,1_24,1,DM3WN
53,943,45,1_24,0,QT5V9
244,759,24,1_25,1,XFDS8
1176,155,52,1_24,0,OQG0W
412,1534,16,1_25,0,OG2YW
367,1209,22,1_25,0,YXC0F
974,282,17,1_25,1,DQGMQ
984,1244,29,1_25,1,X74MR
1327,1290,19,1_25,1,M9P9W
976,393,51,2_24,0,MDN2B
764,889,16,1_25,1,XAGRG
404,474,69,3_25,1,KPVQP
319,412,21,3_25,0,6IHC8
851,957,17,2_24,1,OO231
1406,260,23,1_25,1,ZJGAK
695,1317,17,1_24,1,4RP5J
1184,728,30,1_24,1,JPOWL
1217,1637,52,2_25,0,BDEHB
741,738,24,1_25,0,0887T
959,1573,18,3_25,1,NVPFY
1560,710,26,1_24,1,ZR3ZU
1011,1494,39,1_25,0,WVKTD
560,44,11,2_25,1,R5B1I
386,1205,73,1_24,0,AU65L
286,1378,20,1_25,1,GYC3R
852,1555,20,1_25,1,UPTTT
1072,725,20,2_25,1,FTVOJ
616,280,26,3_25,1,00FRO
834,1230,27,2_24,0,9IKJ4
797,1582,32,1_25,1,5HWQA
564,1270,15,1_25,1,09HMM
633,46,27,1_24,0,7H5ML
1664,982,27,1_24,0,AQQEA
1421,710,17,2_25,0,D6AK0
993,981,21,1_25,0,NW2L8
719,237,28,3_25,0,6DW9A
176,482,23,1_24,1,L4U2Z
1528,1231,27,1_24,0,HVFI2
622,621,31,2_24,0,8DNEZ
1171,1368,39,3_25,0,KW8RC
1206,489,24,1_24,0,F4Q7X
520,255,44,2_24,0,YGU14
253,249,35,2_25,0,J38VY
1232,1526,44,1_24,0,PA4I3
1056,1647,19,1_25,1,Y5J2G
733,569,42,3_24,0,C0KEM
775,1150,19,1_25,1,FT3G1
399,165,25,1_25,0,JALER
1247,895,39,3_25,0,I0JPF
630,718,45,2_25,0,HNLFQ
221,1047,34,1_24,0,C7A00
1435,146,26,3_24,1,F9PRG
1057,358,29,2_25,0,UCD9N
1364,445,47,1_25,0,0D9PD
1282,979,20,1_25,1,77ET3
1672,1203,11,3_25,1,HZ2IC
224,881,17,2_24,1,QLFYK
1244,1525,36,1_24,0,TTKF4
1666,85,33,2_24,0,RSP0J
367,1209,21,1_25,0,HFFHN
1020,669,25,3_25,1,DK1PY
1111,183,30,1_25,0,42N99
854,124,69,2_24,0,61QWE
453,1538,23,1_24,0,600K5
1188,1538,43,3_25,1,7HR4P
650,1075,17,1_24,1,HSA9U
1413,771,19,1_25,0,FTSKL
1491,68,30,1_25,0,2U9MO
622,1256,20,3_25,1,YF0W2
311,48,40,1_25,0,5RTQO
621,1140,16,1_25,1,K5333
679,584,18,2_24,0,WD7HF
1606,1198,20,2_24,1,LMQI8
99,201,41,1_25,0,ECEKR
1207,1471,61,3_24,1,GGZIA
367,1640,16,1_24,1,CVMTG
1094,1022,31,3_24,0,7BPGO
942,617,16,3_25,0,TZ1L7
313,77,38,1_25,0,1FSQO
553,1152,29,1_25,0,D0SDF
1037,1298,16,3_24,1,VOMSF
1542,1611,21,1_24,1,QC4PT
1167,1208,31,1_25,1,IW68P
1649,1569,28,2_24,0,S6R2B
467,1285,16,1_25,0,NKH6V
1623,1268,25,1_24,1,ASM9S
77,713,30,1_24,0,MS8AS
260,633,17,2_25,0,Q08RN
1640,1023,43,1_24,0,M931C
1483,1644,25,1_25,1,Q778Y
341,1260,25,1_25,0,E8JYO
1421,1379,78,3_25,0,6NAW2
985,1075,26,2_25,0,OCDCL
1573,698,30,3_25,1,OTP06
1072,1300,22,1_25,0,BHVIE
1067,367,20,2_25,1,6MMLY
140,1510,78,3_25,0,GY7UA
50,674,25,1_25,1,GKT0F
543,450,64,3_25,0,NJJHO
814,336,41,3_25,0,4V4BQ
475,470,19,2_24,1,0J5X8
1309,971,40,2_25,0,0GKUB
190,65,25,3_25,0,Y6GJA
1169,994,18,1_25,1,JNR2W
137,1233,23,2_25,1,03Z6Z
1516,216,54,3_25,0,AX8SD
210,712,25,1_25,1,7X04Q
1044,739,50,2_24,0,NVEXH
299,1265,33,1_24,0,LSZCT
1634,182,13,3_24,1,G13CV
318,1609,26,2_25,0,2BK3S
720,1633,19,1_25,1,277FR
1377,647,26,1_25,1,FJDWD
262,153,22,3_25,0,HRK5J
220,404,15,2_25,1,YDXPD
88,291,26,1_25,0,IOC9B
1017,542,38,3_25,0,ZA56H
1442,618,17,1_24,1,FXB0E
1256,262,61,3_24,0,OG1ZR
82,1279,14,3_25,1,MNBSH
315,1180,12,2_24,1,R2SBA
123,154,30,3_25,1,MTRC9
1553,1201,20,3_25,0,IKBGP
742,439,54,2_25,0,FUN98
84,315,17,3_24,0,RPME2
1245,896,44,3_25,0,SQ94A
1038,1413,33,1_24,0,ENFHD
807,1473,28,2_24,0,RH7NV
1389,1336,31,3_25,0,HMTNV
1254,133,61,1_25,1,RDESN
459,971,20,2_24,0,UYROP
29,404,24,1_25,0,HPELJ
948,1308,39,2_24,0,YJ1O2
737,1250,20,3_24,1,L24Z4
464,666,46,2_25,0,KXQGI
89,1219,41,1_25,0,NPEGU
550,600,27,2_24,0,OPCU7
829,43,33,1_25,0,E8QKX
367,1230,22,2_25,0,1DONW
347,733,27,2_25,0,WQIDP
379,1466,52,3_25,0,41Y0G
1580,907,24,2_24,0,9INL7
1102,777,17,2_25,1,Y20SX
45,1359,18,1_25,1,Q13HP
692,450,30,2_24,0,KK42W
510,299,37,1_24,0,BMB9D
622,1495,23,1_24,1,3AKKE
607,877,30,1_24,0,ACI67
195,1569,38,3_24,0,UP5ER
1156,995,22,2_25,1,BBH2T
1007,1492,36,1_24,0,247OA
1117,1592,33,1_25,1,T7AYE
41,262,21,1_24,0,XT22V
1141,851,13,1_25,1,9OUFX
1304,655,30,1_25,0,VDYVJ
1369,1186,72,3_25,1,C7PHN
132,1269,21,2_25,1,74Y92
1537,1143,12,1_25,1,FKSDS
370,432,21,2_25,1,7BVD2
1495,1488,29,2_25,0,9K1DP
189,1631,51,1_24,1,EK8OW
1009,890,26,1_25,0,SU94Q
1458,1492,44,2_25,0,A9XC0
1447,1236,43,2_25,0,R97ID
279,299,25,1_25,1,2CNLZ
965,69,24,3_24,0,HC4B6
814,1538,39,3_25,0,XF9H7
1669,1314,18,3_25,1,BUOTG
1590,1320,28,3_24,1,V5T2Z
1286,1021,41,1_24,1,QIOHV
650,714,46,1_25,0,1GRST
